annotator,image_id
miranda,accordion_rot_s_8.jpg
miranda,accordion_rot_s_9.jpg
miranda,box_hat_rot_s_3.jpg
miranda,box_hat_rot_s_4.jpg
miranda,briefcase_rot_s_1.jpg
miranda,briefcase_rot_s_2.jpg
miranda,controlbox_rot_s_3.jpg
miranda,controlbox_rot_s_4.jpg
miranda,fakeapple_rot_s_9.jpg
miranda,fakeapple_rot_s_10.jpg
miranda,gift_box_rot_s_1.jpg
miranda,gift_box_rot_s_2.jpg
miranda,gloves_rot_s_9.jpg
miranda,gloves_rot_s_10.jpg
miranda,measuring_spoons_rot_s_1.jpg
miranda,measuring_spoons_rot_s_2.jpg
miranda,notecards_rot_s_9.jpg
miranda,notecards_rot_s_10.jpg
miranda,tape_dispenser_rot_s_7.jpg
miranda,tape_dispenser_rot_s_8.jpg
william,measuring_spoons_rot_s_1.jpg
william,lotion_rot_s_1.jpg
william,briefcase_rot_s_1.jpg
william,gift_box_rot_s_1.jpg
william,towel_rot_s_1.jpg
william,tennis_racket_rot_s_1.jpg
william,briefcase_rot_s_2.jpg
william,gift_box_rot_s_2.jpg
william,lotion_rot_s_2.jpg
william,measuring_spoons_rot_s_2.jpg
william,tennis_racket_rot_s_2.jpg
william,towel_rot_s_2.jpg
william,accordion_rot_s_9.jpg
william,box_hat_rot_s_3.jpg
william,box_hat_rot_s_4.jpg
william,cardboard_rot_s_3.jpg
william,cardboard_rot_s_4.jpg
william,controlbox_rot_s_3.jpg
william,controlbox_rot_s_4.jpg
william,extension_cord_rot_s_7.jpg
william,fakeapple_rot_s_9.jpg
william,fakeapple_rot_s_10.jpg
william,flask_rot_s_5.jpg
william,flask_rot_s_6.jpg
william,gloves_rot_s_9.jpg
william,gloves_rot_s_10.jpg
william,nailpolish_rot_s_8.jpg
william,notebook_rot_s_5.jpg
william,notebook_rot_s_6.jpg
william,tape_dispenser_rot_s_7.jpg
william,tape_dispenser_rot_s_8.jpg
